Award Year,Organization Receiving Award,Use of Funds,Award Type,Amount,Type of Assistance
FY2021,"Double Dragon Llc / La Noue Development, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Nora Grod LAc LLC dba Bow & Arrow Eastern Medicine / La Noue Development, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Hillsdale Foot Clinic / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Pravda Counseling / La Noue Development, LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"GFM LLC / La Noue Development, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Hoot-n-Annie Resale Boutique, LLC / WARDIN & SON LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Portland Doctor, LLC / La Noue Development, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Wild Earth Acupuncture / La Noue Development, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Gaufre Gourmet, Inc. / WARDIN & SON LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Dino Matt / La Noue Development, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Singing Bird Acupuncture / La Noue Development, LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Cuttlefish and corals llc / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"Shayne Case / La Noue Development, LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"Kellyjoy Kanaley, LPC / La Noue Development, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Portland Pilates Collective + Wellness Center / La Noue Development, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"Portland Mental Wellness Group llc / La Noue Development, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"DIG Recording / Caldwell Properties, LLC",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,HumbleHungryHappy LLC / 940 SE MADISON LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,JORDONMARIE LLC / Division Street LLC,Commercial Rent Relief,Grant,17000,Commercial Rent Relief and Operational Assistance
FY2021,"McMenamins Inc. / NE Broadway, LLC",Commercial Rent Relief,Grant,41000,Commercial Rent Relief and Operational Assistance
FY2021,Marino Adriatic Cafe / Home Forward,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Black Rose Gym / Constance Tomal Living Trust,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Wailua Shave Ice Portland LLC / UnionJac LLC,Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,"Beanstalk LLC / Montavilla, L.L.C.",Commercial Rent Relief,Grant,15000,Commercial Rent Relief and Operational Assistance
FY2021,West Slope Salon / David S Stoner Charitable Remainder Unitrust,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,Exit 21 Global Solutions LLC / NBP Merchant Hotel LLC,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,"Shari's Management Corporation / Hayden Meadows, A Joint Venture",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,"Pure Nail Bar & Organic Spa / WE-BE Homes, Inc",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Allied Works Architecture / Morrison Street LLC,Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,Vaux Market LLC / Karuna Properties II LLC,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,Sushi mazi inc / 80 SE Madison LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,lovecraft llc / Joel Graysoon,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Happy Day Juice Co. / The Bridgetown LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Lumberyard MTB, LLC / Pindrop LLC",Commercial Rent Relief,Grant,57000,Commercial Rent Relief and Operational Assistance
FY2021,Angelina?s Greek Arena / NBP Capital LLC,Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,Q Chiropractic / BZB Properties LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Victory City Athletics / 1715 NW Lovejoy, LLC",Commercial Rent Relief,Grant,47000,Commercial Rent Relief and Operational Assistance
FY2021,"Sage Cancer Care / 714 NE HANCOCK, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,AS Team Fitness Studios LLC / American Property Management,Commercial Rent Relief,Grant,34000,Commercial Rent Relief and Operational Assistance
FY2021,"Evolve Performance Healthcare / 714 NE HANCOCK, LLC",Commercial Rent Relief,Grant,28000,Commercial Rent Relief and Operational Assistance
FY2021,"Claro Restaurant / GS Indigo, LLC",Commercial Rent Relief,Grant,71000,Commercial Rent Relief and Operational Assistance
FY2021,Rain or Shine LLC / Buckaroo LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,"PDX Sierrec, LLC / 1230 Hoyt LLC",Commercial Rent Relief,Grant,16000,Commercial Rent Relief and Operational Assistance
FY2021,CHUNGDAM KOREAN RESTAURANT / Powell Street 1 LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,Wild Cactus Boutique / Invisible LLC,Commercial Rent Relief,Grant,18000,Commercial Rent Relief and Operational Assistance
FY2021,Hillsdale Nails & SPA LLC. / Chinook Investment Company,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Ruthie?s / Invisible LLC,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Salon masaru / MARIMAR PROPERTIES, LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Churchgate Station Inc. / ADG III A, LLC",Commercial Rent Relief,Grant,25000,Commercial Rent Relief and Operational Assistance
FY2021,Van Hanh LLC /,Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"Beanstalk LLC / ADG Properties, LLC",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"Garden Fever LLC / ADG II, LLC",Commercial Rent Relief,Grant,45000,Commercial Rent Relief and Operational Assistance
FY2021,Beaumont nails spa / PCF Properties LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Earthtones LLC / ADG III B, LLC",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Oasis of Change / Tyra Grove,Commercial Rent Relief,Grant,76000,Commercial Rent Relief and Operational Assistance
FY2021,Paradise Music Group LLC / 2330 LLC,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Little Otsu LLC / ADG III C, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Inhabit Real Estate, LLC / ADG III D, LLC",Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Amy Rose Massage Therapy / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,500,Commercial Rent Relief and Operational Assistance
FY2021,"Axiom Custom Products, Inc. / Plaza Properties, LLC",Commercial Rent Relief,Grant,29000,Commercial Rent Relief and Operational Assistance
FY2021,Metamorphic / Northwest St Johns LLC,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"hillsdale family dental / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Smokehouse Tavern LLC / Morrison Investors, LLC",Commercial Rent Relief,Grant,41000,Commercial Rent Relief and Operational Assistance
FY2021,"Other Worlds, LLC / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Dairy Hill Ice Cream / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"gurtons, llc / Wardin Investment Co., LLC",Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,"Bridgetown Barber Society / Goldsmith Blocks, LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"DESTROYALLMERCH LLC / Goldsmith Blocks, LLC",Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,Shop Adorn LLC / 3360 Division LLC,Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"World Champion Taekwondo / Remington Village, LLC",Commercial Rent Relief,Grant,22000,Commercial Rent Relief and Operational Assistance
FY2021,Backwoods In The Pearl LLC / Everett Street LLC,Commercial Rent Relief,Grant,74000,Commercial Rent Relief and Operational Assistance
FY2021,"WAM Partners, Inc / J&R Atwater condo LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,Albina Studios LLC /,Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,First cup coffee House / Tim & Kathryn Norton,Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Fills Portland LLC / GS Indigo, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,"Little Green Pickle, Inc / Olympic Mills Commerce Center, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Champions Barbering Institute, Inc. / City of Portland",Commercial Rent Relief,Grant,27000,Commercial Rent Relief and Operational Assistance
FY2021,"OFFICE 52 Architecture Planning Design, LLC / Olympic Mills Commerce Center, LLC",Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,"PulsePDX, LLC / JAX EPV LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,"F&M Marketing LLC / Olympic Mills Commerce Center, LLC",Commercial Rent Relief,Grant,36000,Commercial Rent Relief and Operational Assistance
FY2021,TANPDX LLC / Home Forward,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,"The Fossil Cartel / Amato Brothers Enterprises, Inc.",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Willamette Jetboat Excursions, LLC / Oregon Museum of Science and Industry",Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Art of Catering Inc / 11th & Everett LLC,Commercial Rent Relief,Grant,48000,Commercial Rent Relief and Operational Assistance
FY2021,Club Pilates West Hills / Grandchildren LLC,Commercial Rent Relief,Grant,23000,Commercial Rent Relief and Operational Assistance
FY2021,Bar King LLC / Adaptive Development Co.,Commercial Rent Relief,Grant,46000,Commercial Rent Relief and Operational Assistance
FY2021,"RNRS International / Siena Capital, LLC",Commercial Rent Relief,Grant,72000,Commercial Rent Relief and Operational Assistance
FY2021,"Heart Spring Health LLC / MARIMAR PROPERTIES, LLC",Commercial Rent Relief,Grant,9000,Commercial Rent Relief and Operational Assistance
FY2021,ALLORA! LLC / Honeyman Portland LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,"Goin Straight Wheel Alignment / WPC Rockwood, LLC",Commercial Rent Relief,Grant,19000,Commercial Rent Relief and Operational Assistance
FY2021,ALLORA! LLC / Honeyman Portland,Commercial Rent Relief,Grant,4000,Commercial Rent Relief and Operational Assistance
FY2021,"Wu's Brother Inc. / Menlo Park Plaza, LLC",Commercial Rent Relief,Grant,12000,Commercial Rent Relief and Operational Assistance
FY2021,Sante' Wellness LLC / NS Holdings LLC,Commercial Rent Relief,Grant,59000,Commercial Rent Relief and Operational Assistance
FY2021,"Paradise Sports Bar And Cafe / Menlo Park Plaza, LLC",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Scream Haunted Enterprises LLC / Menlo Park Plaza, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,AMT Corporation / Graphic Arts Building LLC,Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"Thomasson Group Franchise Corporation / Mall 205 GRF2, LLC",Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,SMG Collective LLC / Graphic Arts Building LLC,Commercial Rent Relief,Grant,10000,Commercial Rent Relief and Operational Assistance
FY2021,"AMERICAN ASSET RECOVERY & INVESTIGATION LLC / WPC Rockwood, LLC",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,"Body Shop NW / The Shea-Two B, LLC",Commercial Rent Relief,Grant,38000,Commercial Rent Relief and Operational Assistance
FY2021,LAURA VINCENT DESIGN & GALLERY / Graphic Arts Building LLC,Commercial Rent Relief,Grant,21000,Commercial Rent Relief and Operational Assistance
FY2021,Prince Coffee / The Bridgetown LLC,Commercial Rent Relief,Grant,7000,Commercial Rent Relief and Operational Assistance
FY2021,Medical Institute of neuroplastic development hub.LLC / American Property Management,Commercial Rent Relief,Grant,1000,Commercial Rent Relief and Operational Assistance
FY2021,"Oak street coffee / 309 6th Ave. Property, LLC",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,LCHS ENTERPRISES LLC / WPC Crosswhite LLC,Commercial Rent Relief,Grant,11000,Commercial Rent Relief and Operational Assistance
FY2021,The Beauty Collective / MWS Flanders LLC & Taymor Flanders LLC,Commercial Rent Relief,Grant,2000,Commercial Rent Relief and Operational Assistance
FY2021,Tron City Tattoo LLC / David S Stoner Charitable Remainder Unitrust,Commercial Rent Relief,Grant,3000,Commercial Rent Relief and Operational Assistance
FY2021,Allen Knecht DC PC / BPJ LLC,Commercial Rent Relief,Grant,30000,Commercial Rent Relief and Operational Assistance
FY2021,"NW Nails & Spa 9, LLC / 21 Irving LLC",Commercial Rent Relief,Grant,13000,Commercial Rent Relief and Operational Assistance
FY2021,"The Circuit Inc. / Weston Investment Co., LLC; dba American Property Management",Commercial Rent Relief,Grant,14000,Commercial Rent Relief and Operational Assistance
FY2021,Fuller's Coffee Shop / Graphic Arts Building LLC,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
FY2021,Cox's Dry Cleaners / West Alder LLC,Commercial Rent Relief,Grant,35000,Commercial Rent Relief and Operational Assistance
FY2021,"Enthusiast Media Group / Weston Investment Co., LLC; dba American Property Management",Commercial Rent Relief,Grant,6000,Commercial Rent Relief and Operational Assistance
FY2021,"Oko Gallery / Thurman Properties #1, LLC and Nancy E. Ballis, LLC",Commercial Rent Relief,Grant,5000,Commercial Rent Relief and Operational Assistance
FY2021,"The Children's Gym / Weston Invesment Co., LLC; dba, American Property Management",Commercial Rent Relief,Grant,26000,Commercial Rent Relief and Operational Assistance
FY2021,"Engin Creative, LLC / Technology & Arts Block, LLC",Commercial Rent Relief,Grant,100000,Commercial Rent Relief and Operational Assistance
FY2021,"Broadleaf Craftsman Company / Leonard Schultz Credit Shelter Bypass Trust, Larry Fry as Trustee",Commercial Rent Relief,Grant,8000,Commercial Rent Relief and Operational Assistance
FY2021,HAPPY FEET NAILS & SPA / TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,Commercial Rent Relief,Grant,20000,Commercial Rent Relief and Operational Assistance
